lr,step,time,train_loss,train_metric,val_loss,val_metric
0.001000,1-best,5.767746,1.434180,1.434180,0.990594,0.990594
0.001000,2-best,4.904885,0.993092,0.993092,0.925369,0.925369
0.001000,3-best,4.773237,0.877337,0.877337,0.860527,0.860527
0.001000,4-best,4.775794,0.998431,0.998431,0.795393,0.795393
0.001000,5-best,4.766256,0.860790,0.860790,0.738829,0.738829
0.001000,6-best,4.834077,0.854961,0.854961,0.698944,0.698944
0.001000,7-best,4.880455,0.781638,0.781638,0.675795,0.675795
0.001000,8-best,4.827722,0.532156,0.532156,0.671494,0.671494
0.001000,9-best,4.713398,0.661632,0.661632,0.664833,0.664833
0.001000,10-best,4.810137,0.727956,0.727956,0.656484,0.656484
0.001000,11-best,4.737333,0.635855,0.635855,0.647399,0.647399
0.001000,12-best,4.794181,0.600220,0.600220,0.634968,0.634968
0.001000,13-best,4.842052,0.635164,0.635164,0.620004,0.620004
0.001000,14-best,4.979684,0.528128,0.528128,0.604578,0.604578
0.001000,15-best,4.820111,0.521654,0.521654,0.588262,0.588262
0.001000,16-best,4.817118,0.498569,0.498569,0.577017,0.577017
0.001000,17-best,4.691458,0.655139,0.655139,0.566460,0.566460
0.001000,18-best,4.705418,0.661600,0.661600,0.558238,0.558238
0.001000,19-best,4.786202,0.491272,0.491272,0.552501,0.552501
0.001000,20-best,4.834075,0.541501,0.541501,0.544627,0.544627
0.001000,21-best,4.855020,0.524732,0.524732,0.535059,0.535059
0.001000,22-best,4.780219,0.493082,0.493082,0.527024,0.527024
0.001000,23-best,4.772240,0.445000,0.445000,0.512976,0.512976
0.001000,24-best,4.810138,0.514207,0.514207,0.503905,0.503905
0.001000,25-best,4.809142,0.434476,0.434476,0.495772,0.495772
0.001000,26-best,4.875966,0.459378,0.459378,0.493594,0.493594
0.001000,27-best,4.811135,0.431029,0.431029,0.481819,0.481819
0.001000,28-best,4.811136,0.413909,0.413909,0.468673,0.468673
0.001000,29-best,4.822107,0.427557,0.427557,0.458230,0.458230
0.001000,30-best,4.779222,0.422285,0.422285,0.451656,0.451656
0.001000,31-best,4.800165,0.447009,0.447009,0.445310,0.445310
